competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,competênciaexc,indicadordeexclusão,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,,
202303,2,26,261160,M,7112000,1,251110,101,9,33,44,6,1,0,1,97,0,0,0,2849,4,0,1,202303,NA,NA,0,5,2849,,
202303,4,43,430700,M,7220700,1,251110,101,7,26,44,3,1,0,1,97,0,0,0,1600,3,0,1,202303,NA,NA,0,5,1600,,
202303,4,41,411520,N,8211300,1,251110,101,9,33,44,6,3,0,1,97,0,0,0,4000,2,0,1,202303,NA,NA,0,5,4000,,
202303,3,35,353060,G,4511101,-1,251110,101,9,32,44,3,1,0,1,31,0,0,0,20000,6,0,1,202303,NA,NA,0,5,20000,,
202303,3,35,355030,M,7112000,1,251110,101,10,36,40,2,3,0,1,97,0,0,0,4000,10,0,1,202303,NA,NA,0,5,4000,,
202303,2,26,261160,M,7112000,1,251110,101,9,27,44,3,1,0,1,97,0,0,0,2849,4,0,1,202303,NA,NA,0,5,2849,,
202303,2,26,261160,M,7112000,1,251110,101,9,28,44,6,3,0,1,97,0,0,0,2849,4,0,1,202303,NA,NA,0,5,2849,,
202303,3,35,355030,M,7112000,1,251110,101,9,33,44,1,1,0,1,97,0,0,0,4000,10,0,1,202303,NA,NA,0,5,4000,,
202303,2,26,261160,M,7112000,1,251110,101,9,34,44,3,1,0,1,97,0,0,0,2849,4,0,1,202303,NA,NA,0,5,2849,,
202303,2,26,261160,M,7020400,1,251110,101,9,30,44,6,1,0,1,97,0,0,0,2849,4,0,1,202303,NA,NA,0,5,2849,,
202303,4,42,421660,G,4520001,-1,251110,101,5,27,44,1,1,0,1,40,0,0,0,1742,2,0,1,202303,NA,NA,0,5,1742,,
202304,2,26,261160,M,7020400,1,251110,101,9,25,44,3,3,0,1,97,0,0,0,2849,4,0,1,202304,NA,NA,0,5,2849,,
202304,2,26,261160,M,7490199,1,251110,101,10,35,44,6,1,0,1,97,0,0,0,7800,6,0,1,202304,NA,NA,0,5,7800,,
202304,1,13,130260,S,9499500,1,251110,105,10,40,44,1,1,0,1,97,0,0,0,6499,5,0,1,202304,NA,NA,0,5,6499,,
202304,3,31,310620,M,7119702,-1,251110,101,9,39,44,3,1,0,1,40,0,0,0,4730,5,0,1,202304,NA,NA,0,5,4730,,
202304,3,35,355030,M,7220700,1,251110,105,9,35,44,1,3,0,1,97,0,0,0,4000,5,0,1,202304,NA,NA,0,5,4000,,
202304,3,33,330455,D,3511501,-1,251110,101,9,71,44,1,1,0,1,31,0,0,0,18233,3,10,0,1,202304,NA,NA,0,5,18233,3
202304,3,35,350570,M,7112000,1,251110,101,9,34,44,6,1,0,1,97,0,0,0,3000,4,0,1,202304,NA,NA,0,5,3000,,
202304,2,26,261160,M,7020400,1,251110,101,9,25,44,3,1,0,1,97,0,0,0,2849,4,0,1,202304,NA,NA,0,5,2849,,
202304,3,33,330045,M,7220700,1,251110,101,5,43,45,1,1,0,1,97,0,0,0,2000,1,0,1,202304,NA,NA,0,5,2000,,
202304,3,35,350570,M,7112000,1,251110,101,9,31,44,6,1,0,1,97,0,0,0,1302,4,0,1,202304,NA,NA,0,2,43,4,
