"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Causa.Afastamento.1";"Causa.Afastamento.2";"Causa.Afastamento.3";"Motivo.Desligamento";"CBO.Ocupação.2002";"CNAE.2.0.Classe";"CNAE.95.Classe";"Distritos.SP";"Vínculo.Ativo.31.12";"Faixa.Etária";"Faixa.Hora.Contrat";"Faixa.Remun.Dezem..SM.";"Faixa.Remun.Média..SM.";"Faixa.Tempo.Emprego";"Escolaridade.após.2005";"Qtd.Hora.Contr";"Idade";"Ind.CEI.Vinculado";"Ind.Simples";"Mês.Admissão";"Mês.Desligamento";"Mun.Trab";"Município";"Nacionalidade";"Natureza.Jurídica";"Ind.Portador.Defic";"Qtd.Dias.Afastamento";"Raça.Cor";"Regiões.Adm.DF";"Vl.Remun.Dezembro.Nom";"Vl.Remun.Dezembro..SM.";"Vl.Remun.Média.Nom";"Vl.Remun.Média..SM.";"CNAE.2.0.Subclasse";"Sexo.Trabalhador";"Tamanho.Estabelecimento";"Tempo.Emprego";"Tipo.Admissão";"Tipo.Estab";"Tipo.Estab.1";"Tipo.Defic";"Tipo.Vínculo";"IBGE.Subsetor";"Vl.Rem.Janeiro.SC";"Vl.Rem.Fevereiro.SC";"Vl.Rem.Março.SC";"Vl.Rem.Abril.SC";"Vl.Rem.Maio.SC";"Vl.Rem.Junho.SC";"Vl.Rem.Julho.SC";"Vl.Rem.Agosto.SC";"Vl.Rem.Setembro.SC";"Vl.Rem.Outubro.SC";"Vl.Rem.Novembro.SC";"Ano.Chegada.Brasil";"Ind.Trab.Intermitente";"Ind.Trab.Parcial"
9997;9997;9997;99;99;99;0;251110;72207;73202;9997;1;8;6;8;7;7;9;44;67;0;0;5;"{ñ";520870;520870;"10";3069;0;0;2;9997;7803,65;6,43;7893,29;6,51;7220700;1;4;103,8;0;1;"CNPJ";0;10;19;8782,4;6986,11;7740,62;7740,62;7803,65;7803,65;7803,65;8844,14;7803,65;7803,65;7803,65;1198;0;0
9997;9997;9997;99;99;99;0;251110;85317;80314;9997;1;5;5;8;7;7;9;40;37;0;0;8;"{ñ";0;520870;"10";1104;0;0;99;9997;7994,33;6,59;7887,4;6,5;8531700;1;10;64,4;0;1;"CNPJ";0;30;23;7405,44;7405,44;7829,03;8054,34;7994,33;7994,33;7994,33;7994,33;7994,33;7994,33;7994,33;0;0;0
9997;9997;9997;99;99;99;0;251110;72207;73202;9997;1;5;6;6;5;7;9;44;35;0;0;9;"{ñ";520870;520870;"10";3069;0;0;8;9997;4577,95;3,77;4763,92;3,93;7220700;1;4;88;0;1;"CNPJ";0;10;19;4093,12;5229,6;4535,17;4535,17;6856,72;4535,17;4535,17;4535,17;4577,95;4577,95;4577,95;1198;0;0
9997;9997;9997;99;99;99;0;251110;72207;73202;9997;1;4;6;5;4;7;7;44;29;0;0;8;"{ñ";520355;520870;"10";3069;0;0;8;9997;2743,39;2,26;2918,2;2,4;7220700;2;4;76,2;0;1;"CNPJ";0;10;19;3291,74;2452,62;2717,51;2717,51;2717,51;2717,51;3464,23;3279,22;2743,39;3430,4;2743,39;1198;0;0
9997;9997;9997;99;99;99;0;251110;71197;74209;9997;1;4;6;6;4;1;9;44;25;0;0;10;"{ñ";221060;520870;"10";2062;0;0;9;9997;3700;3,05;3001,11;2,47;7119702;2;4;2,4;2;1;"CNPJ";0;10;19;0;0;0;0;0;0;0;0;0;1603,33;3700;1198;0;0
9997;9997;9997;99;99;99;0;251110;71197;74209;9997;1;4;6;6;4;1;9;44;29;0;0;10;"{ñ";220955;520870;"10";2062;0;0;9;9997;3700;3,05;3001,11;2,47;7119702;2;4;2,4;2;1;"CNPJ";0;10;19;0;0;0;0;0;0;0;0;0;1603,33;3700;1198;0;0
9997;9997;9997;99;99;99;0;251110;71197;74209;9997;1;5;6;6;5;1;9;44;33;0;0;11;"{ñ";522045;520870;"10";2062;0;0;8;9997;3700;3,05;4008,34;3,3;7119702;2;4;2;4;1;"CNPJ";0;10;19;0;0;0;0;0;0;0;0;0;0;4316,67;1198;0;0
9997;9997;9997;99;99;99;0;251110;85317;80314;9997;1;7;5;8;8;8;9;40;61;0;0;10;"{ñ";520870;520870;"10";3999;0;0;2;9997;8410,93;6,93;8513,7;7,02;8531700;2;10;255;0;1;"CNPJ";0;10;23;7842,35;7842,35;7842,35;7842,35;8440,5;8782,89;10732,7;8548,17;8626,6;8626,6;8626,6;1198;0;0
9997;9997;9997;99;99;99;11;251110;82113;74993;9997;0;5;6;0;1;1;4;44;33;0;0;10;"11";230810;530010;"10";2062;0;0;9;9997;0;0;1000;0,82;8211300;1;4;0,9;2;1;"CNPJ";0;60;19;0;0;0;0;0;0;0;0;0;1000;350;1198;0;0
9997;9997;9997;99;99;99;11;251110;82113;74993;9997;0;5;6;0;1;1;4;44;32;0;0;10;"11";230810;530010;"10";2062;0;0;9;9997;0;0;1000;0,82;8211300;1;4;0,9;2;1;"CNPJ";0;60;19;0;0;0;0;0;0;0;0;0;1000;350;1198;0;0
9997;9997;9997;99;99;99;21;251110;82113;74993;9997;0;5;6;0;1;1;6;44;39;0;0;10;"11";230810;530010;"10";2062;0;0;9;9997;0;0;1000;0,82;8211300;1;4;0,7;2;1;"CNPJ";0;90;19;0;0;0;0;0;0;0;0;0;1000;150;1198;0;0
9997;9997;9997;40;99;99;12;251110;82113;74993;9997;0;5;6;0;1;1;7;44;34;0;0;1;"02";410480;530010;"10";2062;0;5;9;9997;0;0;1125;0,92;8211300;1;4;1,4;2;1;"CNPJ";0;60;19;1050;1200;0;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;12;251110;82113;74993;9997;0;5;6;0;1;1;7;44;31;0;0;1;"03";241300;530010;"10";2062;0;0;9;9997;0;0;975;0,8;8211300;1;4;1,5;2;1;"CNPJ";0;60;19;350;1500;450;0;0;0;0;0;0;0;0;1198;0;0
