"";"competênciamov";"região";"uf";"município";"seção";"subclasse";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz";"origemdainformação";"competênciadec";"competênciaexc";"indicadordeexclusão";"indicadordeforadoprazo";"unidadesaláriocódigo";"valorsaláriofixo"
"39";202502;3;35;355030;"M";7112000;-1;251110;101;9;30;44;2;1;0;1;31;0;0;0;3299,45;10;0;1;202502;NA;NA;0;5;3299,45
"40";202502;2;26;261160;"M";7490199;1;251110;101;7;35;44;3;3;0;1;97;0;0;0;4300;2;0;1;202502;NA;NA;0;5;4300
"41";202502;3;35;355030;"K";6463800;-1;251110;101;9;45;44;1;1;0;1;31;0;0;0;33710,08;5;0;1;202502;NA;NA;0;5;33710,08
"42";202502;3;35;355030;"F";4399101;-1;251110;101;10;43;44;3;3;0;1;31;0;0;0;4586,81;4;0;1;202502;NA;NA;0;5;4586,81
"43";202503;3;33;330320;"G";4782201;1;251110;101;7;33;44;3;1;0;1;97;0;0;0;0;4;0;1;202503;NA;NA;0;7;0
"44";202503;5;52;520870;"M";7220700;-1;251110;101;9;27;44;3;1;0;1;31;0;0;0;4771;5;0;1;202503;NA;NA;0;5;4771
"45";202503;5;52;520870;"M";7220700;-1;251110;101;9;27;44;6;3;0;1;31;0;0;0;4771;5;0;1;202503;NA;NA;0;5;4771
"46";202503;3;32;320120;"G";4789001;1;251110;101;7;20;48;1;3;0;1;97;0;0;0;1547,6;3;0;1;202503;NA;NA;0;5;1547,6
"47";202503;2;26;261160;"M";7490199;1;251110;101;9;34;44;3;3;0;1;97;0;0;0;4000;6;0;1;202503;NA;NA;0;5;4000
"48";202503;2;26;261160;"M";7490199;1;251110;101;10;28;44;3;3;0;1;97;0;0;0;4300;2;0;1;202503;NA;NA;0;5;4300
"49";202503;2;26;261160;"M";7490199;1;251110;101;7;33;44;3;1;0;1;97;0;0;0;2000;6;0;1;202503;NA;NA;0;5;2000
"50";202503;3;35;350570;"M";7112000;1;251110;111;9;24;44;3;1;0;1;97;0;1;0;1518;5;0;1;202503;NA;NA;0;2;50,6
"51";202503;3;33;330555;"M";7112000;1;251110;101;9;28;44;3;1;0;1;97;0;0;0;5835,69;4;0;1;202503;NA;NA;0;5;5835,69
"52";202503;3;32;320530;"M";6920601;-1;251110;101;9;50;44;1;3;0;1;40;0;0;0;3820,46;4;0;1;202503;NA;NA;0;5;3820,46
"53";202503;3;35;350570;"M";7112000;-1;251110;101;9;23;44;3;1;0;1;43;0;0;0;3140;5;0;1;202503;NA;NA;0;5;3140
"54";202503;2;26;261160;"M";7020400;-1;251110;101;9;29;44;3;1;0;1;90;0;0;0;3322,27;5;0;1;202503;NA;NA;0;5;3322,27
"55";202503;3;33;330555;"M";7112000;-1;251110;101;9;38;44;3;1;0;1;31;0;0;0;5835,69;4;0;1;202503;NA;NA;0;5;5835,69
"56";202503;3;33;330320;"G";4782201;-1;251110;101;7;33;44;3;1;0;1;40;0;0;0;0;4;0;1;202503;NA;NA;0;7;0
"57";202503;3;32;320120;"G";4781400;-1;251110;101;7;24;43,5;1;3;0;1;43;0;0;0;1547,6;3;0;1;202503;NA;NA;0;5;1547,6
"58";202503;1;11;110020;"M";7220700;-1;251110;111;7;58;44;3;3;0;1;31;0;1;0;310640;2;0;1;202503;NA;NA;0;1;1412
"59";202503;3;35;354850;"M";7220700;-1;251110;101;9;27;44;3;1;0;1;90;0;0;0;4500;2;0;1;202503;NA;NA;0;5;4500
"60";202503;3;35;351518;"M";7220700;-1;251110;101;7;29;44;6;1;0;1;31;0;0;0;4200;3;0;1;202503;NA;NA;0;5;4200
"61";202503;1;11;110020;"M";7220700;1;251110;101;9;31;44;3;1;0;1;97;0;0;0;4000;2;0;1;202503;NA;NA;0;5;4000
"62";202503;2;23;230440;"M";7220700;-1;251110;101;7;48;44;3;1;0;1;31;0;0;0;1518;5;0;1;202503;NA;NA;0;5;1518
"63";202503;3;31;310620;"M";7119702;-1;251110;101;9;28;44;1;1;0;1;40;0;0;0;3614,52;6;0;1;202503;NA;NA;0;5;3614,52
"64";202504;1;13;130260;"M";7119702;1;251110;101;9;56;44;3;1;0;1;97;0;0;0;3088,8;2;0;1;202504;NA;NA;0;5;3088,8
"65";202504;3;32;320530;"M";6920601;-1;251110;101;9;33;44;1;3;0;1;40;0;0;0;3497,94;4;0;1;202504;NA;NA;0;5;3497,94
"66";202504;2;26;261160;"M";7020400;1;251110;101;9;26;44;3;1;0;1;97;0;0;0;3322,27;5;0;1;202504;NA;NA;0;5;3322,27
"67";202504;2;26;261160;"M";7490199;1;251110;101;5;24;44;3;1;0;1;97;0;0;0;1600;6;0;1;202504;NA;NA;0;5;1600
"68";202504;2;26;261160;"M";7020400;1;251110;101;7;26;44;3;3;0;1;97;0;0;0;2310;5;0;1;202504;NA;NA;0;5;2310
"69";202504;2;29;291320;"F";4221902;-1;251110;101;7;28;44;1;1;0;1;31;0;0;0;4650;10;0;1;202504;NA;NA;0;5;4650
"70";202504;2;26;261160;"M";7020400;1;251110;101;9;27;44;3;3;0;1;97;0;0;0;2310;5;0;1;202504;NA;NA;0;5;2310
"71";202504;3;33;330320;"G";4782201;1;251110;101;7;37;44;3;3;0;1;97;0;0;0;0;4;0;1;202504;NA;NA;0;7;0
"72";202504;1;15;150550;"F";4313400;-1;251110;101;6;38;44;3;1;0;1;31;0;0;0;1502,14;9;0;1;202504;NA;NA;0;5;1502,14
"73";202504;3;35;355030;"C";2622100;-1;251110;101;7;40;44;3;3;0;1;31;0;0;0;2196,52;10;0;1;202504;NA;NA;0;5;2196,52
"74";202504;3;35;355030;"M";7111100;1;251110;101;9;30;44;1;1;0;1;97;0;0;0;5693;7;0;1;202504;NA;NA;0;5;5693
"75";202504;5;53;530010;"N";8211300;-1;251110;101;7;23;44;2;1;0;1;31;0;0;9;1653,75;3;0;1;202504;NA;NA;0;5;1653,75
"76";202504;3;32;320503;"C";2391503;-1;251110;101;7;24;45;1;3;0;1;40;0;0;0;2097;4;0;1;202504;NA;NA;0;5;2097
"77";202504;4;42;420460;"M";7220700;-1;251110;101;80;45;44;1;1;0;1;31;0;0;0;4500;2;0;1;202504;NA;NA;0;5;4500
"78";202504;2;26;261160;"M";7490199;1;251110;101;7;22;44;3;1;0;1;97;0;0;0;1600;6;0;1;202504;NA;NA;0;5;1600
"79";202504;5;53;530010;"N";8211300;-1;251110;101;6;19;44;2;1;0;1;31;0;0;9;1653,75;3;0;1;202504;NA;NA;0;5;1653,75
"80";202504;3;33;330455;"M";7220700;1;251110;111;9;25;44;2;3;0;1;97;0;1;0;2013;5;0;1;202504;NA;NA;0;1;9,15
"81";202503;2;22;221060;"R";9102301;1;251110;101;80;30;44;1;3;0;1;97;0;0;0;7200;5;0;1;202505;NA;NA;1;5;7200
"82";202505;3;35;355030;"M";7112000;1;251110;101;9;45;44;3;1;0;1;97;0;0;0;4242;10;0;1;202505;NA;NA;0;5;4242
"83";202505;2;26;261160;"M";7490199;1;251110;101;9;31;45;3;3;0;1;97;0;0;0;4300;2;0;1;202505;NA;NA;0;5;4300
"84";202505;4;42;420460;"P";8531700;-1;251110;111;9;40;44;1;1;0;1;31;0;1;0;8234,6;10;0;1;202505;NA;NA;0;1;37,43
"85";202505;5;52;520870;"N";8211300;-1;251110;105;9;32;44;3;1;0;1;31;0;0;0;4500;5;0;1;202505;NA;NA;0;5;4500
"86";202505;5;52;520870;"M";7220700;-1;251110;101;9;27;44;3;1;0;1;31;0;0;0;4771;5;0;1;202505;NA;NA;0;5;4771
"87";202505;3;35;355030;"C";2930102;1;251110;101;9;29;44;3;1;0;1;97;0;0;0;8220,94;6;0;1;202505;NA;NA;0;5;8220,94
"88";202505;5;52;520870;"M";7220700;-1;251110;101;9;36;44;3;3;0;1;31;0;0;0;4771;5;0;1;202505;NA;NA;0;5;4771
"89";202505;2;28;280030;"M";7220700;-1;251110;101;9;35;44;3;3;0;1;31;0;0;0;2259,2;3;0;1;202505;NA;NA;0;5;2259,2
"90";202505;5;52;520870;"M";7220700;1;251110;101;9;23;44;3;1;0;1;97;0;0;0;3338;5;0;1;202505;NA;NA;0;5;3338
"91";202505;3;33;330330;"L";6821801;-1;251110;101;7;57;48;3;3;0;1;40;0;0;0;3730,94;2;0;1;202505;NA;NA;0;5;3730,94
"92";202505;3;33;330452;"G";4771701;1;251110;101;7;35;44;3;3;0;1;97;0;0;0;1563;3;0;1;202505;NA;NA;0;5;1563
"93";202505;4;42;421950;"F";4221901;-1;251110;101;9;36;44;1;1;0;1;40;0;0;0;5182,85;5;0;1;202505;NA;NA;0;5;5182,85
"94";202505;3;32;320120;"G";4789001;-1;251110;101;6;20;48;3;3;0;1;40;0;0;0;1547,6;3;0;1;202505;NA;NA;0;5;1547,6
"95";202505;1;13;130260;"M";7119702;-1;251110;101;9;56;44;3;1;0;1;31;0;0;0;3088,8;2;0;1;202505;NA;NA;0;5;3088,8
"96";202505;3;35;355030;"M";7220700;-1;251110;101;10;36;44;1;3;0;1;31;0;0;0;6338,21;5;0;1;202505;NA;NA;0;5;6338,21
"97";202505;5;52;520870;"N";8211300;-1;251110;101;9;32;44;3;1;0;1;31;0;0;0;4500;5;0;1;202505;NA;NA;0;5;4500
"98";202505;1;11;110020;"M";7220700;1;251110;101;7;39;44;3;1;0;1;97;0;0;0;4000;2;0;1;202505;NA;NA;0;5;4000
"99";202505;3;35;350570;"M";7112000;-1;251110;101;9;35;44;3;1;0;1;31;0;0;0;3140;5;0;1;202505;NA;NA;0;5;3140
"100";202505;2;26;261160;"M";7490199;-1;251110;101;9;28;44;1;3;0;1;43;0;0;0;4300;2;0;1;202505;NA;NA;0;5;4300
"101";202505;3;35;355030;"M";7112000;1;251110;101;10;32;44;3;3;0;1;97;0;0;0;3500;10;0;1;202505;NA;NA;0;5;3500
"102";202505;1;13;130260;"M";7119702;1;251110;101;7;40;44;3;1;0;1;97;0;0;0;3088,8;2;0;1;202505;NA;NA;0;5;3088,8
"103";202505;5;52;520870;"N";8211300;-1;251110;105;9;25;44;3;3;0;1;31;0;0;0;4500;5;0;1;202505;NA;NA;0;5;4500
"104";202302;5;52;520870;"M";7220700;1;251110;101;9;34;44;6;3;0;1;97;0;0;0;5000;4;0;1;202302;202506;1;0;5;5000
"105";202506;1;13;130260;"M";7119702;1;251110;101;7;26;44;3;1;0;1;97;0;0;0;3494,4;2;0;1;202506;NA;NA;0;5;3494,4
"106";202506;3;35;355030;"M";7112000;1;251110;101;9;25;44;1;3;0;1;97;0;0;0;3500;10;0;1;202506;NA;NA;0;5;3500
"107";202506;4;43;430700;"M";7220700;-1;251110;101;7;39;44;3;1;0;1;40;0;0;0;2500;3;0;1;202506;NA;NA;0;5;2500
"108";202506;5;52;520870;"M";7220700;1;251110;101;9;28;44;3;3;0;1;97;0;0;0;3338;5;0;1;202506;NA;NA;0;5;3338
"109";202506;5;52;520870;"M";7220700;1;251110;101;9;28;44;3;1;0;1;97;0;0;0;3338;5;0;1;202506;NA;NA;0;5;3338
"110";202506;3;35;355030;"M";7112000;1;251110;101;9;33;44;1;3;0;1;97;0;0;0;3500;10;0;1;202506;NA;NA;0;5;3500
"111";202506;5;52;520870;"M";7220700;1;251110;101;9;23;44;3;3;0;1;97;0;0;0;3338;5;0;1;202506;NA;NA;0;5;3338
"112";202506;2;26;261160;"M";7490199;-1;251110;101;7;26;44;6;1;0;1;31;0;0;0;1785,24;6;0;1;202506;NA;NA;0;5;1785,24
"113";202506;3;31;310620;"M";7220700;-1;251110;101;11;43;40;1;1;0;1;31;0;0;0;5960,08;3;0;1;202506;NA;NA;0;5;5960,08
"114";202506;3;31;310620;"N";8211300;1;251110;101;9;26;44;1;1;0;1;97;0;0;0;4800;2;0;1;202506;NA;NA;0;5;4800
"115";202506;3;33;330320;"G";4782201;1;251110;101;7;34;44;1;3;0;1;97;0;0;0;0;4;0;1;202506;NA;NA;0;7;0
"116";202506;1;11;110020;"M";7220700;-1;251110;101;9;31;44;3;1;0;1;40;0;0;0;4000;2;0;1;202506;NA;NA;0;5;4000
"117";202506;3;35;355030;"C";2622100;-1;251110;101;7;34;44;1;1;0;1;31;0;0;0;2196,52;10;0;1;202506;NA;NA;0;5;2196,52
"118";202506;2;22;221100;"M";7220700;1;251110;101;9;26;44;3;1;0;1;97;0;0;0;4500;1;0;1;202506;NA;NA;0;5;4500
"119";202506;2;29;290490;"F";4222701;-1;251110;101;9;30;44;3;1;0;4;31;0;0;0;4729,22;1;0;1;202506;NA;NA;0;5;4729,22
"120";202506;5;52;520870;"M";7220700;1;251110;101;9;24;44;3;3;0;1;97;0;0;0;3338;5;0;1;202506;NA;NA;0;5;3338
"121";202506;3;35;355030;"M";7112000;-1;251110;101;9;47;44;3;3;0;1;31;0;0;0;2500;4;0;1;202506;NA;NA;0;5;2500
"122";202506;3;35;355030;"M";7112000;1;251110;101;9;50;44;1;1;0;1;97;0;0;0;5366,49;10;0;1;202506;NA;NA;0;5;5366,49
"123";202506;3;35;355030;"M";7112000;1;251110;101;9;46;44;1;1;0;1;97;0;0;0;5366,49;10;0;1;202506;NA;NA;0;5;5366,49
"124";202506;2;26;261160;"M";7020400;1;251110;101;9;27;44;3;3;0;1;97;0;0;0;3322,27;5;0;1;202506;NA;NA;0;5;3322,27
"125";202506;3;31;310620;"M";7220700;-1;251110;101;10;32;40;2;3;0;1;40;0;0;0;5199,94;3;0;1;202506;NA;NA;0;5;5199,94
"126";202506;2;23;230440;"M";7119702;-1;251110;101;9;36;44;3;3;0;1;31;0;0;0;7000;4;0;1;202506;NA;NA;0;5;7000
"127";202506;2;26;261160;"M";7112000;1;251110;101;9;33;42;3;3;0;1;97;0;0;0;6000;6;0;1;202506;NA;NA;0;5;6000
"128";202506;3;35;355030;"G";4645101;-1;251110;101;9;28;40;1;1;0;1;40;0;0;0;6090;7;0;1;202506;NA;NA;0;5;6090
"129";202507;3;32;320530;"M";7020400;1;251110;111;9;47;1;3;1;0;1;97;0;1;0;2000;4;0;1;202507;NA;NA;0;5;2000
"130";202507;3;32;320530;"J";6311900;1;251110;101;9;34;44;3;3;0;1;97;0;0;0;11000;4;0;1;202507;NA;NA;0;5;11000
"131";202507;3;32;320120;"G";4759801;1;251110;101;6;18;40;1;3;0;1;97;0;0;0;1547,6;2;0;1;202507;NA;NA;0;5;1547,6
"132";202507;4;43;430700;"M";7220700;1;251110;101;9;36;44;3;1;0;1;97;0;0;0;2500;3;0;1;202507;NA;NA;0;5;2500
"133";202507;3;35;355030;"C";2622100;-1;251110;101;7;34;44;1;3;0;1;31;0;0;0;2127,79;10;0;1;202507;NA;NA;0;5;2127,79
"134";202507;3;32;320120;"G";4781400;1;251110;101;7;24;43,5;1;3;0;1;97;0;0;0;1547,6;3;0;1;202507;NA;NA;0;5;1547,6
"135";202507;1;15;150680;"M";7220700;1;251110;101;9;32;44;3;3;0;1;97;0;0;0;5313;1;0;1;202507;NA;NA;0;5;5313
"136";202507;5;52;520140;"H";4930202;1;251110;101;9;36;44;3;3;0;1;97;0;0;0;5000;7;0;1;202507;NA;NA;0;5;5000
"137";202507;3;35;350570;"M";7112000;1;251110;111;9;37;44;1;3;0;1;97;0;1;0;1518;5;0;1;202507;NA;NA;0;2;50,6
"138";202507;5;53;530010;"M";7112000;-1;251110;101;10;34;44;1;1;0;1;31;0;0;0;4646,6;7;0;1;202507;NA;NA;0;5;4646,6
"139";202507;3;31;314070;"F";4223500;1;251110;101;9;28;44;3;1;0;4;97;0;0;0;5000;1;0;1;202507;NA;NA;0;5;5000
"140";202507;3;31;310620;"M";7220700;-1;251110;101;7;30;40;1;3;0;1;31;0;0;0;4054,52;3;0;1;202507;NA;NA;0;5;4054,52
"141";202507;3;35;350570;"M";7112000;-1;251110;111;9;33;44;3;1;0;1;40;0;1;0;1518;5;0;1;202507;NA;NA;0;2;50,6
"142";202507;3;35;350570;"M";7112000;1;251110;111;9;31;44;2;1;0;1;97;0;1;0;1518;5;0;1;202507;NA;NA;0;2;50,6
"143";202507;3;33;330555;"M";7112000;-1;251110;101;9;28;44;3;1;0;1;31;0;0;0;5835,69;4;0;1;202507;NA;NA;0;5;5835,69
"144";202507;3;35;350130;"M";7490199;1;251110;101;9;29;44;1;1;0;1;97;0;0;0;3000;2;0;1;202507;NA;NA;0;5;3000
"145";202508;1;13;130260;"M";7119702;-1;251110;101;7;26;44;3;1;0;1;31;0;0;0;3494,4;2;0;1;202508;NA;NA;0;5;3494,4
"146";202508;4;42;420460;"P";8531700;1;251110;101;80;40;16;1;1;0;1;97;0;0;0;2994,4;10;0;1;202508;NA;NA;0;5;2994,4
"147";202508;2;26;261160;"M";7490199;-1;251110;101;7;36;44;3;3;0;1;31;0;0;0;4300;2;0;1;202508;NA;NA;0;5;4300
"148";202508;2;26;261160;"M";7490199;1;251110;101;9;27;44;2;3;0;1;97;0;0;0;4000;2;0;1;202508;NA;NA;0;5;4000
"149";202508;2;26;261160;"M";7490199;-1;251110;101;10;28;44;3;3;0;1;31;0;0;0;4300;2;0;1;202508;NA;NA;0;5;4300
"150";202508;4;42;421950;"G";4744001;1;251110;101;7;36;44;1;3;0;1;97;0;0;0;1935;4;0;1;202508;NA;NA;0;5;1935
"151";202508;1;15;150680;"G";4781400;1;251110;101;7;31;44;3;3;0;1;97;0;0;0;1518;1;0;1;202508;NA;NA;0;5;1518
"152";202508;3;33;330320;"G";4782201;-1;251110;101;6;35;44;3;3;0;1;31;0;0;0;0;4;0;1;202508;NA;NA;0;7;0
"153";202508;2;26;261160;"M";7490199;1;251110;101;9;23;44;3;3;0;1;97;0;0;0;4000;2;0;1;202508;NA;NA;0;5;4000
"154";202508;1;15;150680;"G";4781400;1;251110;101;7;38;44;3;3;0;1;97;0;0;0;1518;1;0;1;202508;NA;NA;0;5;1518
"155";202508;2;26;261160;"M";7490199;1;251110;101;7;31;44;3;1;0;1;97;0;0;0;1800;6;0;1;202508;NA;NA;0;5;1800
"156";202508;4;42;421950;"G";4744001;-1;251110;101;7;36;44;1;3;0;1;40;0;0;0;1935;4;0;1;202508;NA;NA;0;5;1935
"157";202508;2;23;230440;"M";7220700;-1;251110;101;9;29;44;1;1;0;1;31;0;0;0;3000;3;0;1;202508;NA;NA;0;5;3000
