Bairros SP - Código;Bairros Fortaleza - Código;Bairros RJ - Código;Causa Afastamento 1 - Código;Causa Afastamento 2 - Código;Causa Afastamento 3 - Código;Motivo Desligamento - Código;CBO 2002 Ocupação - Código;CNAE 2.0 Classe - Código;CNAE 95 Classe - Código;Distritos SP - Código;Ind Vínculo Ativo 31/12 - Código;Faixa Etária - Código;Faixa Rem Média (SM) - Código;Faixa Hora Contrat - Código;Faixa Rem Dez (SM) - Código;Faixa Tempo Emprego - Código;Escolaridade Após 2005 - Código;Qtd Hora Contr;Idade;Ind CEI Vinculado - Código;Ind Estabelecimento Participante SIMPLES - Código;Mês Admissão - Código;Mês Desligamento - Código;Município Trab - Código;Município - Código;Nacionalidade - Código;Natureza Jurídica - Código;Ind Portador Defic - Código;Qtd Dias Afastamento;Raça Cor - Código;Região Adm DF - Código;Vl Rem Dezembro Nom;Vl Rem Dezembro (SM);Vl Rem Média Nom;Vl Rem Média (SM);CNAE 2.0 Subclasse - Código;Sexo - Código;Tamanho Estabelecimento - Código;Tempo Emprego;Tipo Admissão Trabalhador - Código;Tipo Estabelecimento - Código;Tipo Estabelecimento - Nome;Tipo Deficiência - Código;Tipo Vínculo - Código;IBGE Subsetor - Código;Vl Rem Janeiro SC;Vl Rem Fevereiro SC;Vl Rem Março SC;Vl Rem Abril SC;Vl Rem Maio SC;Vl Rem Junho SC;Vl Rem Julho SC;Vl Rem Agosto SC;Vl Rem Setembro SC;Vl Rem Outubro SC;Vl Rem Novembro SC;Ano Chegada Brasil;Ind Trabalho Intermitente - Código;Ind Trabalho Parcial - Código;Ind Vínculo Abandonado - Código
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;5;5;99;99;2;9;99;32;0;1;8;0;999999;354780;10;2062;0;0;2;999997;;.00;4147.37;2.93;7220700;1;2;4.8;2;1;CNPJ;0;10;19;0;0;0;0;0;0;0;3768.34;5145.65;3528.13;0;1198;1;0;0
999997;999997;999997;999;999;999;0;251110;7112;7420;999997;1;5;5;6;5;4;9;44;39;0;0;0;0;999999;355030;10;2054;0;0;1;999997;3401.10;2.40;3830.21;2.71;7112000;1;10;14.9;0;1;CNPJ;0;10;19;3221.69;3221.70;3221.69;3221.69;3278.07;3278.07;5514.32;3928.25;4476.41;5135.83;4063.72;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;7;6;6;6;2;9;44;52;0;0;9;0;999999;355030;10;2062;0;0;2;999997;4878.52;3.45;5338.38;3.78;7220700;1;5;3.9;2;1;CNPJ;0;10;19;0;0;0;0;0;0;0;0;5115.60;6385.15;4974.26;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;2622;3022;999997;1;6;4;6;4;6;9;44;45;0;0;0;0;999999;355030;10;2046;0;0;2;999997;2196.52;1.55;2171.01;1.53;2622100;1;10;51.9;0;1;CNPJ;0;10;4;1850.25;1850.25;1850.25;1850.25;2196.52;2664.05;2807.90;2196.52;2196.52;2196.52;2196.52;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7112;7420;999997;1;4;99;99;99;3;9;99;28;0;0;5;0;999999;350570;10;2062;0;0;8;999997;;.00;.00;.00;7112000;1;6;7.2;2;1;CNPJ;0;10;19;0;0;0;0;0;0;0;0;0;0;0;1198;1;0;0
999997;999997;999997;999;999;999;11;251110;7220;7320;999997;0;6;99;6;99;2;9;44;49;0;1;0;1;999999;350570;10;2062;0;0;2;999997;;.00;.00;.00;7220700;1;2;4.1;0;1;CNPJ;0;10;19;0;0;0;0;0;0;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;5510;5513;999997;1;7;10;6;10;8;9;44;54;0;0;0;0;999999;355030;10;2062;0;0;2;999997;18285.00;12.94;19338.58;13.69;5510801;1;7;155.9;0;1;CNPJ;0;10;21;16954.00;16954.00;16954.00;16954.00;17374.00;17890.00;22348.33;18285.00;18285.00;23054.87;28724.79;1198;0;0;0
999997;999997;999997;999;999;999;11;251110;7220;7320;999997;0;5;4;99;99;1;9;99;36;0;1;8;10;999999;354780;10;2062;0;0;8;999997;;.00;2489.87;1.76;7220700;1;2;2.5;2;1;CNPJ;0;10;19;0;0;0;0;0;0;0;3053.06;1926.68;0;0;1198;1;0;0
999997;999997;999997;999;999;999;0;251110;4399;4550;999997;1;7;99;6;99;1;9;44;52;0;1;10;0;999999;355070;10;2062;0;0;8;999997;;.00;.00;.00;4399103;1;5;2.9;4;1;CNPJ;0;10;15;0;0;0;0;0;0;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;6;8;5;9;7;9;40;44;0;0;0;0;999999;355030;10;2062;0;0;9;999997;10667.56;7.55;9661.32;6.84;7220700;2;5;75.2;0;1;CNPJ;0;10;19;11583.36;9170.91;9170.91;9170.91;9170.91;9170.91;9170.91;9622.36;9622.36;9707.36;9707.36;1198;0;0;0
999997;999997;999997;999;999;999;31;251110;4399;4550;999997;0;6;4;6;99;4;9;44;48;0;0;0;11;999999;355070;10;2062;0;0;8;999997;;.00;2780.40;1.97;4399103;1;5;14.0;0;1;CNPJ;0;10;15;2715.51;2715.51;2715.51;2715.51;2715.51;2715.51;2715.51;2715.51;0;3299.49;90.52;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;4;6;6;6;3;9;44;26;0;1;6;0;999999;354850;10;2062;0;0;8;999997;4977.35;3.52;4942.95;3.49;7220700;1;2;6.9;2;1;CNPJ;0;60;19;0;0;0;0;0;4240.89;5219.20;5262.67;5421.23;4939.29;4540.02;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;5;2;99;99;3;9;99;30;0;0;1;0;999999;355030;10;2062;0;0;8;999997;;.00;1263.58;.89;7220700;2;5;11.5;2;1;CNPJ;0;10;19;90.75;0;0;0;0;0;0;381.32;381.32;1461.36;1065.80;1198;1;0;0
999997;999997;999997;999;999;999;0;251110;7112;7420;999997;1;5;99;99;99;3;9;99;33;0;0;5;0;999999;350570;10;2062;0;0;8;999997;;.00;.00;.00;7112000;1;6;7.2;2;1;CNPJ;0;10;19;0;0;0;0;0;0;0;0;0;0;0;1198;1;0;0
