Bairros SP - Código,Bairros Fortaleza - Código,Bairros RJ - Código,Causa Afastamento 1 - Código,Causa Afastamento 2 - Código,Causa Afastamento 3 - Código,Motivo Desligamento - Código,CBO 2002 Ocupação - Código,CNAE 2.0 Classe - Código,CNAE 95 Classe - Código,Distritos SP - Código,Ind Vínculo Ativo 31/12 - Código,Faixa Etária - Código,Faixa Rem Média (SM) - Código,Faixa Hora Contrat - Código,Faixa Rem Dez (SM) - Código,Faixa Tempo Emprego - Código,Escolaridade Após 2005 - Código,Qtd Hora Contr,Idade,Ind CEI Vinculado - Código,Ind Estabelecimento Participante SIMPLES - Código,Mês Admissão - Código,Mês Desligamento - Código,Município Trab - Código,Município - Código,Nacionalidade - Código,Natureza Jurídica - Código,Ind Portador Defic - Código,Qtd Dias Afastamento,Raça Cor - Código,Região Adm DF - Código,Vl Rem Dezembro Nom,Vl Rem Dezembro (SM),Vl Rem Média Nom,Vl Rem Média (SM),CNAE 2.0 Subclasse - Codigo,Sexo - Código,Tamanho Estabelecimento - Código,Tempo Emprego,Tipo Admissão Trabalhador - Código,Tipo Estabelecimento - Código,Tipo Estabelecimento - Nome,Tipo Deficiência - Código,Tipo Vínculo - Código,IBGE Subsetor - Código,Vl Rem Janeiro SC,Vl Rem Fevereiro SC,Vl Rem Março SC,Vl Rem Abril SC,Vl Rem Maio SC,Vl Rem Junho SC,Vl Rem Julho SC,Vl Rem Agosto SC,Vl Rem Setembro SC,Vl Rem Outubro SC,Vl Rem Novembro SC,Ano Chegada Brasil,Ind Trabalho Intermitente - Código,Ind Trabalho Parcial - Código,Ind Vínculo Abandonado - Código,Categoria Trabalhador - Código
999997,999997,999997,40,40,999,0,251110,82113,74993,999997,1,6,5,6,6,8,9,44,44,0,0,0,0,999999,530010,10,2062,0,44,8,999997,5257.98,3.46,4133.17,2.72,8211300,2,3,147.6,0,1,CNPJ,0,10,19,5151.48,4033.00,4033.00,4033.00,4033.00,4033.00,4510.02,2081.55,4144.00,4144.00,4144.00,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,71120,74209,999997,1,5,5,6,5,8,9,44,36,0,0,0,0,999999,530010,10,2062,0,0,2,999997,3333.33,2.19,3086.11,2.03,7112000,1,2,141.7,0,1,CNPJ,0,10,19,3166.67,3000.00,3000.00,3000.00,3533.33,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,1198,0,0,0,101
999997,999997,999997,999,999,999,11,251110,72207,73202,999997,0,5,5,6,99,4,9,44,37,0,0,0,5,999999,520870,10,2062,0,0,8,999997,,.00,4202.37,2.77,7220700,2,4,22.1,0,1,CNPJ,0,10,19,6043.27,4771.00,4771.00,4771.00,655.56,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,46834,51543,999997,1,4,3,6,3,3,9,44,27,0,0,3,0,999999,510340,10,2143,0,0,8,999997,1791.42,1.18,2120.53,1.39,4683400,1,5,9.7,2,1,CNPJ,0,10,17,0,0,1623.37,2213.69,2213.69,2368.65,2956.87,2534.46,1920.26,1791.42,1791.42,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,84116,75116,999997,1,7,11,5,99,8,9,40,58,0,0,0,0,999999,530010,10,1163,0,0,6,999997,,.00,27653.42,18.21,8411600,2,10,251.3,0,1,CNPJ,0,30,24,26564.97,27199.63,26549.18,28823.34,28499.32,28390.92,27957.28,28499.32,28499.32,27957.28,25247.08,1198,0,0,0,301
999997,999997,999997,999,999,999,11,251110,72207,73202,999997,0,4,5,6,99,4,9,44,28,0,0,0,5,999999,520870,10,2062,0,0,8,999997,,.00,4191.18,2.76,7220700,1,4,22.1,0,1,CNPJ,0,10,19,4771.00,4771.00,4771.00,4771.00,1871.89,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,69206,74128,999997,1,6,3,6,3,8,9,44,48,0,1,0,0,999999,500110,10,2135,0,0,8,999997,2080.00,1.37,1795.83,1.18,6920601,1,4,127.0,0,1,CNPJ,0,10,19,1770.00,1770.00,1770.00,1770.00,1770.00,1770.00,1770.00,1770.00,1770.00,1770.00,1770.00,1198,0,0,0,101
999997,999997,999997,999,999,999,11,251110,72207,73202,999997,0,3,5,6,99,2,9,44,24,0,0,6,10,999999,520870,10,2062,0,0,8,999997,,.00,3855.07,2.54,7220700,2,4,4.9,2,1,CNPJ,0,10,19,0,0,0,0,0,3226.73,3555.00,3555.00,3555.00,5383.63,0,1198,0,0,0,101
999997,999997,999997,999,999,999,11,251110,82113,74993,999997,0,3,3,99,99,1,9,99,24,0,0,1,4,999999,530010,10,2062,0,0,4,999997,,.00,1543.40,1.01,8211300,1,3,2.6,2,1,CNPJ,0,60,19,933.12,2016.43,1680.64,385.88,0,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,5,2,99,1,5,9,99,31,0,0,0,0,999999,520870,10,2062,0,0,8,999997,610.89,.40,1196.84,.78,7220700,1,4,27.4,0,1,CNPJ,0,10,19,789.11,257.37,547.11,827.29,2188.47,1516.71,937.43,1702.51,1625.74,916.34,1503.65,1198,1,0,0,111
