Bairros SP - Código;Bairros Fortaleza - Código;Bairros RJ - Código;Causa Afastamento 1 - Código;Causa Afastamento 2 - Código;Causa Afastamento 3 - Código;Motivo Desligamento - Código;CBO 2002 Ocupação - Código;CNAE 2.0 Classe - Código;CNAE 95 Classe - Código;Distritos SP - Código;Ind Vínculo Ativo 31/12 - Código;Faixa Etária - Código;Faixa Rem Média (SM) - Código;Faixa Hora Contrat - Código;Faixa Rem Dez (SM) - Código;Faixa Tempo Emprego - Código;Escolaridade Após 2005 - Código;Qtd Hora Contr;Idade;Ind CEI Vinculado - Código;Ind Estabelecimento Participante SIMPLES - Código;Mês Admissão - Código;Mês Desligamento - Código;Município Trab - Código;Município - Código;Nacionalidade - Código;Natureza Jurídica - Código;Ind Portador Defic - Código;Qtd Dias Afastamento;Raça Cor - Código;Região Adm DF - Código;Vl Rem Dezembro Nom;Vl Rem Dezembro (SM);Vl Rem Média Nom;Vl Rem Média (SM);CNAE 2.0 Subclasse - Código;Sexo - Código;Tamanho Estabelecimento - Código;Tempo Emprego;Tipo Admissão Trabalhador - Código;Tipo Estabelecimento - Código;Tipo Estabelecimento - Nome;Tipo Deficiência - Código;Tipo Vínculo - Código;IBGE Subsetor - Código;Vl Rem Janeiro SC;Vl Rem Fevereiro SC;Vl Rem Março SC;Vl Rem Abril SC;Vl Rem Maio SC;Vl Rem Junho SC;Vl Rem Julho SC;Vl Rem Agosto SC;Vl Rem Setembro SC;Vl Rem Outubro SC;Vl Rem Novembro SC;Ano Chegada Brasil;Ind Trabalho Intermitente - Código;Ind Trabalho Parcial - Código;Ind Vínculo Abandonado - Código
999997;999997;999997;999;999;999;0;251110;8211;7499;999997;1;6;99;6;99;7;9;44;45;0;0;0;0;999999;530010;10;2062;0;0;9;999997;;.00;.00;.00;8211300;2;4;83.0;0;1;CNPJ;0;10;19;0;0;0;0;0;0;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;12;251110;7220;7320;999997;0;4;5;6;99;1;9;44;25;0;0;6;9;999999;520870;10;2062;0;0;9;999997;;.00;3040.99;2.30;7220700;2;6;2.9;2;1;CNPJ;0;60;19;0;0;0;0;0;300.00;3135.00;3135.00;2852.98;0;0;1198;0;0;0
999997;999997;999997;999;999;999;21;251110;8211;7499;999997;0;3;1;6;99;1;9;44;23;0;0;6;6;999999;530010;10;2062;0;0;8;999997;;.00;400.00;.30;8211300;1;4;.2;2;1;CNPJ;0;60;19;0;0;0;0;0;400.00;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;12;251110;7220;7320;999997;0;5;5;6;6;1;9;44;38;0;0;11;12;999999;520870;10;2062;0;0;8;999997;4119.88;3.12;3104.94;2.35;7220700;2;6;1.4;2;1;CNPJ;0;60;19;0;0;0;0;0;0;0;0;0;0;2090.00;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7112;7420;999997;1;5;6;6;8;2;9;44;33;0;0;7;0;999999;530010;10;2062;0;0;2;999997;6867.66;5.20;5119.30;3.88;7112000;2;7;5.4;2;1;CNPJ;0;10;19;0;0;0;0;0;0;2280.88;5311.06;5306.71;5652.86;5296.65;1198;0;0;0
999997;999997;999997;999;999;999;12;251110;7220;7320;999997;0;5;4;6;4;1;9;44;35;0;0;11;12;999999;520870;10;2062;0;0;2;999997;2344.13;1.77;2373.82;1.80;7220700;1;6;1.4;2;1;CNPJ;0;60;19;0;0;0;0;0;0;0;0;0;0;2403.50;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;3;5;6;5;1;9;44;24;0;0;12;0;999999;520870;10;2062;0;0;2;999997;2713.52;2.05;2713.52;2.05;7220700;2;6;.8;2;1;CNPJ;0;60;19;0;0;0;0;0;0;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;90;251110;7220;7320;999997;0;4;5;6;99;3;9;44;28;0;0;2;8;999999;520870;10;2062;0;0;9;999997;;.00;3576.43;2.72;7220700;1;6;6.2;2;1;CNPJ;0;10;19;0;1466.67;4000.00;4000.00;4000.00;4000.00;4180.00;3388.33;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;12;251110;7220;7320;999997;0;4;5;6;99;1;9;44;27;0;0;7;9;999999;520870;10;2062;0;0;9;999997;;.00;3100.17;2.34;7220700;1;6;2.9;2;1;CNPJ;0;60;19;0;0;0;0;0;0;3030.50;3135.00;3135.00;0;0;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;5;5;6;5;1;9;44;36;0;0;12;0;999999;520870;10;2062;0;0;2;999997;3135.00;2.37;3135.00;2.37;7220700;2;6;1.0;2;1;CNPJ;0;60;19;0;0;0;0;0;0;0;0;0;0;0;1198;0;0;0
