competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202110;1;13;130260;G;4651602;-1;251110;101;9;48;44;3;1;0;1;31;0;0;0;3599,49;6;0;1;202111;202201;1;1;5;3599,49
202112;3;35;354140;G;4763602;-1;251110;101;7;36;44;1;3;0;1;43;0;0;0;1649;1;0;1;202112;202201;1;0;5;1649
202201;3;35;354750;M;7220700;1;251110;101;9;31;44;6;1;0;1;97;0;0;0;3300;3;0;1;202201;NA;NA;0;5;3300
202201;3;35;355030;M;7112000;1;251110;101;9;29;44;3;3;0;1;97;0;0;0;6500;8;0;1;202201;NA;NA;0;5;6500
202201;5;52;520870;M;7119702;-1;251110;101;9;40;44;3;1;0;1;40;0;0;0;4250;5;0;1;202201;NA;NA;0;5;4250
202201;5;53;530010;N;8211300;1;251110;101;7;34;44;6;1;0;1;97;0;0;0;1500;4;0;1;202201;NA;NA;0;5;1500
202201;2;23;230440;M;7220700;1;251110;101;7;24;44;6;1;0;1;97;0;0;0;1320;5;0;1;202201;NA;NA;0;5;1320
202201;3;35;350590;R;9102301;-1;251110;111;9;44;44;1;1;0;1;40;0;1;0;6500;2;0;1;202201;NA;NA;0;5;6500
202201;5;53;530010;N;8211300;1;251110;101;7;44;44;6;1;0;1;97;0;0;0;1500;4;0;1;202201;NA;NA;0;5;1500
202201;3;33;330620;I;5611201;1;251110;101;7;38;44;1;1;0;1;97;0;0;0;1283,73;2;0;1;202201;NA;NA;0;5;1283,73
202201;2;23;230440;M;7220700;1;251110;101;7;29;44;6;1;0;1;97;0;0;0;1320;5;0;1;202201;NA;NA;0;5;1320
202201;4;41;410580;G;4665600;1;251110;101;7;37;43,33;1;3;0;1;97;0;0;0;1800;5;0;1;202201;NA;NA;0;5;1800
202201;2;23;230440;M;7220700;1;251110;101;7;20;44;6;1;0;1;97;0;0;0;1320;5;0;1;202201;NA;NA;0;5;1320
202201;4;42;421950;M;7112000;1;251110;101;9;22;44;1;3;0;1;97;0;0;0;2500;5;0;1;202201;NA;NA;0;5;2500
202201;3;31;310620;N;8291100;1;251110;101;7;50;40;1;1;0;1;97;0;0;0;1200;2;0;1;202201;NA;NA;0;5;1200
202201;5;53;530010;N;8211300;1;251110;101;7;35;44;6;1;0;1;97;0;0;0;1500;4;0;1;202201;NA;NA;0;5;1500
202201;2;23;230440;M;7220700;1;251110;101;7;26;44;6;1;0;1;97;0;0;0;1320;5;0;1;202201;NA;NA;0;5;1320
202201;5;53;530010;N;8211300;1;251110;101;7;51;44;6;1;0;1;97;0;0;0;1500;4;0;1;202201;NA;NA;0;5;1500
202201;5;53;530010;N;8211300;1;251110;101;7;20;44;6;1;0;1;97;0;0;0;1500;4;0;1;202201;NA;NA;0;5;1500
202201;3;31;310620;M;7112000;-1;251110;101;9;31;40;3;3;0;1;31;0;0;0;3760;5;0;1;202201;NA;NA;0;5;3760
202201;5;53;530010;N;8211300;1;251110;101;7;31;44;6;1;0;1;97;0;0;0;1500;4;0;1;202201;NA;NA;0;5;1500
202201;5;53;530010;N;8211300;1;251110;101;7;33;44;6;1;0;1;97;0;0;0;1500;4;0;1;202201;NA;NA;0;5;1500
202201;5;53;530010;N;8211300;1;251110;101;7;30;44;6;1;0;1;97;0;0;0;1500;4;0;1;202201;NA;NA;0;5;1500
202201;5;53;530010;N;8211300;1;251110;101;7;32;44;6;1;0;1;97;0;0;0;1500;4;0;1;202201;NA;NA;0;5;1500
202201;3;35;354750;M;7220700;-1;251110;101;9;42;44;6;1;0;1;40;0;0;0;1200;3;0;1;202201;NA;NA;0;5;1200
202201;3;35;355030;N;7820500;1;251110;106;80;38;42,5;1;3;0;1;97;0;0;0;4300;10;0;1;202201;NA;NA;0;5;4300
202201;4;42;420460;G;4774100;-1;251110;101;7;19;44;6;3;0;1;31;0;0;0;1400;2;0;1;202201;NA;NA;0;5;1400
202201;5;53;530010;N;8211300;1;251110;101;7;24;44;6;1;0;1;97;0;0;0;1500;4;0;1;202201;NA;NA;0;5;1500
202201;3;35;355030;M;7220700;1;251110;101;9;33;44;1;1;0;1;97;0;0;0;5500;4;0;1;202201;NA;NA;0;5;5500
202201;3;35;355030;N;7820500;-1;251110;106;9;29;44;6;1;0;1;40;0;0;9;4800;10;0;1;202201;NA;NA;0;5;4800
202201;4;41;411850;G;4530703;1;251110;101;7;38;44;1;1;0;1;97;0;0;0;2500;2;0;1;202201;NA;NA;0;5;2500
202201;2;29;292740;G;4530703;-1;251110;101;7;51;44;6;1;0;1;40;0;0;0;1265;2;0;1;202201;NA;NA;0;5;1265
202202;3;35;350570;M;7112000;-1;251110;101;9;28;44;6;1;0;1;43;0;0;0;1212;4;0;1;202202;NA;NA;0;5;1212
202202;2;23;230440;M;7220700;-1;251110;101;5;35;44;3;1;0;1;31;0;0;0;1320;4;0;1;202202;NA;NA;0;5;1320
202202;4;42;420700;G;4774100;-1;251110;101;7;18;44;6;3;0;1;40;0;0;0;1506;1;0;1;202202;NA;NA;0;5;1506
202202;4;41;410580;G;4665600;-1;251110;101;7;35;43,33;1;1;0;1;31;0;0;0;1879;5;0;1;202202;NA;NA;0;5;1879
202202;2;23;230440;M;7220700;-1;251110;101;7;22;44;6;1;0;1;31;0;0;0;1320;4;0;1;202202;NA;NA;0;5;1320
202202;4;41;410580;G;4665600;1;251110;101;9;35;43,33;1;1;0;1;97;0;0;0;1789;5;0;1;202202;NA;NA;0;5;1789
202202;4;42;421870;M;7220700;1;251110;101;9;37;44;6;1;0;1;97;0;0;0;3786,63;5;0;1;202202;NA;NA;0;5;3786,63
202202;4;43;431440;M;7220700;-1;251110;101;9;25;44;1;1;0;1;31;0;0;0;1846,78;2;0;1;202202;NA;NA;0;5;1846,78
202202;5;53;530010;M;7112000;1;251110;101;9;28;44;1;3;0;1;97;0;0;0;6242,06;6;0;1;202202;NA;NA;0;5;6242,06
202202;4;41;410580;G;4665600;1;251110;101;7;35;43,33;1;1;0;1;97;0;0;0;1879;5;0;1;202202;NA;NA;0;5;1879
202202;2;23;230440;M;7220700;-1;251110;101;7;33;44;6;1;0;1;31;0;0;0;1320;4;0;1;202202;NA;NA;0;5;1320
202202;2;23;230440;M;7220700;-1;251110;101;7;30;44;6;1;0;1;31;0;0;0;1320;4;0;1;202202;NA;NA;0;5;1320
202202;2;23;230440;M;7220700;-1;251110;101;7;26;44;6;1;0;1;31;0;0;0;1320;4;0;1;202202;NA;NA;0;5;1320
202202;5;53;530010;N;8211300;-1;251110;101;7;24;44;6;1;0;1;43;0;0;0;1500;4;0;1;202202;NA;NA;0;5;1500
202202;2;23;230440;M;7220700;-1;251110;101;4;24;44;3;1;0;1;31;0;0;0;1320;4;0;1;202202;NA;NA;0;5;1320
202202;2;23;230440;M;7220700;-1;251110;101;7;24;44;6;1;0;1;31;0;0;0;1320;4;0;1;202202;NA;NA;0;5;1320
202202;2;23;230440;M;7220700;-1;251110;101;7;34;44;6;1;0;1;31;0;0;0;1320;4;0;1;202202;NA;NA;0;5;1320
202202;2;26;261160;M;7112000;-1;251110;101;9;30;44;1;1;0;1;40;0;0;0;2651,96;7;0;1;202202;NA;NA;0;5;2651,96
202202;2;23;230440;M;7220700;-1;251110;101;7;30;44;6;1;0;1;31;0;0;0;1320;4;0;1;202202;NA;NA;0;5;1320
202202;2;23;230440;M;7220700;-1;251110;101;7;53;44;6;1;0;1;31;0;0;0;1320;4;0;1;202202;NA;NA;0;5;1320
202202;5;53;530010;N;8211300;-1;251110;101;7;32;44;6;1;0;1;43;0;0;0;1500;4;0;1;202202;NA;NA;0;5;1500
202202;5;53;530010;N;8211300;-1;251110;101;7;33;44;6;1;0;1;43;0;0;0;1500;4;0;1;202202;NA;NA;0;5;1500
202202;2;26;261160;M;7112000;-1;251110;101;9;26;44;1;1;0;1;40;0;0;0;2651,96;7;0;1;202202;NA;NA;0;5;2651,96
