competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202402;5;53;530010;N;8211300;1;251110;101;4;43;44;3;1;0;1;97;0;0;0;1700;4;0;1;202402;NA;NA;0;5;1700
202402;5;52;520870;M;7220700;-1;251110;101;9;29;44;6;1;0;1;31;0;0;0;4180;6;0;1;202402;NA;NA;0;5;4180
202403;1;15;150140;G;4772500;-1;251110;101;7;23;48;3;1;0;1;43;0;0;0;1412;1;0;1;202403;NA;NA;0;5;1412
202403;5;52;520870;M;7220700;-1;251110;101;9;31;44;3;1;0;1;31;0;0;0;4180;6;0;1;202403;NA;NA;0;5;4180
202403;4;42;421770;C;1622602;1;251110;101;7;42;44;1;1;0;1;97;0;0;0;1754;2;0;1;202403;NA;NA;0;5;1754
202403;4;41;411520;N;8211300;-1;251110;101;9;34;44;1;3;0;1;31;0;0;0;4047,16;2;0;1;202403;NA;NA;0;5;4047,16
202403;3;35;355030;M;7111100;1;251110;101;9;26;44;1;1;0;1;97;0;0;0;5194;6;0;1;202403;NA;NA;0;5;5194
202403;5;52;520870;M;7220700;1;251110;101;9;24;44;3;3;0;1;97;0;0;0;4180;6;0;1;202403;NA;NA;0;5;4180
202403;2;26;261160;M;7490199;-1;251110;101;7;40;44;6;1;0;1;31;0;0;0;5000;6;0;1;202403;NA;NA;0;5;5000
202403;3;35;355030;M;7112000;-1;251110;101;9;30;44;2;1;0;1;31;0;0;0;4200;10;0;1;202403;NA;NA;0;5;4200
202403;3;35;354780;M;7220700;1;251110;111;11;43;44;1;1;0;1;97;0;1;0;4749,8;1;0;1;202403;NA;NA;0;1;21,59
202403;1;15;150140;G;4772500;-1;251110;101;7;20;48;3;3;0;1;40;0;0;0;1412;1;0;1;202403;NA;NA;0;5;1412
202403;3;35;355030;M;7112000;-1;251110;101;9;27;44;1;3;0;1;31;0;0;0;3500;10;0;1;202403;NA;NA;0;5;3500
202403;3;35;355030;M;7112000;-1;251110;101;9;37;44;1;3;0;1;31;0;0;0;3500;10;0;1;202403;NA;NA;0;5;3500
202403;3;35;355030;N;8211300;-1;251110;101;7;40;44;3;1;0;1;31;0;0;0;1837,27;4;0;1;202403;NA;NA;0;5;1837,27
